host	host_disease	isolation_source	Manual_identified_host	Manual_source_category	Manual_source	Manual_sample
		ready-to-eat egg salad sandwich	Environment-associated	Food	Ready-to-Eat / Processed Foods	Ready-to-Eat / Processed Foods
		ready-to-eat food	Environment-associated	Food	Ready-to-Eat / Processed Foods	Ready-to-Eat / Processed Foods
		ready-to-eat foods	Environment-associated	Food	Ready-to-Eat / Processed Foods	Ready-to-Eat / Processed Foods
		ready-to-eat meal	Environment-associated	Food	Ready-to-Eat / Processed Foods	Ready-to-Eat / Processed Foods
		refried bean	Environment-associated	Food	Grains & Flours	Grains & Flours
		retail food samples	Environment-associated	Food	Miscellaneous	Miscellaneous
		retail outlet	Environment-associated	Food	Miscellaneous	Miscellaneous
		retailed food	Environment-associated	Food	Miscellaneous	Miscellaneous
		roasted red pepper hummus	Environment-associated	Food	Dips, Spreads & Sauces	Dips, Spreads & Sauces
		"roll ""california"" in masago"	Environment-associated	Food	Miscellaneous	Miscellaneous
		rotini with vegetable	Environment-associated	Food	Pasta & Noodles	Pasta & Noodles
		rte deli salad (egg salad)	Environment-associated	Food	Egg-related Foods	Egg-related Foods
		rte dish	Environment-associated	Food	Ready-to-Eat / Processed Foods	Ready-to-Eat / Processed Foods
		rte dish (cold)	Environment-associated	Food	Ready-to-Eat / Processed Foods	Ready-to-Eat / Processed Foods
		rte dish (to be heated)	Environment-associated	Food	Ready-to-Eat / Processed Foods	Ready-to-Eat / Processed Foods
		rte food	Environment-associated	Food	Ready-to-Eat / Processed Foods	Ready-to-Eat / Processed Foods
		rte ingredient - linguine	Environment-associated	Food	Ready-to-Eat / Processed Foods	Ready-to-Eat / Processed Foods
		rte product	Environment-associated	Food	Ready-to-Eat / Processed Foods	Ready-to-Eat / Processed Foods
		rte-product	Environment-associated	Food	Ready-to-Eat / Processed Foods	Ready-to-Eat / Processed Foods
		rte:product	Environment-associated	Food	Ready-to-Eat / Processed Foods	Ready-to-Eat / Processed Foods
		"salad ""nezhnost"" with dressing"	Environment-associated	Food	Miscellaneous	Miscellaneous
		"salad ""originalnii"" with dressing"	Environment-associated	Food	Miscellaneous	Miscellaneous
		"salad ""vesna"" with radish and dressing"	Environment-associated	Food	Miscellaneous	Miscellaneous
		salad kit	Environment-associated	Food	Miscellaneous	Miscellaneous
		salad mixture	Environment-associated	Food	Miscellaneous	Miscellaneous
		salad with tomato, cucumber and dressing	Environment-associated	Food	Miscellaneous	Miscellaneous
		salade (raw vegetables)	Environment-associated	Food	Contaminated Vegetables	Contaminated Vegetables
		sandwhich deli sub	Environment-associated	Food	Miscellaneous	Miscellaneous
		sandwich	Environment-associated	Food	Miscellaneous	Miscellaneous
		sandwich spread	Environment-associated	Food	Dips, Spreads & Sauces	Dips, Spreads & Sauces
		sandwiches-deluxe italiano on hard roll	Environment-associated	Food	Miscellaneous	Miscellaneous
		sauce enchilada	Environment-associated	Food	Dips, Spreads & Sauces	Dips, Spreads & Sauces
		scrambled eggs	Environment-associated	Food	Egg-related Foods	Egg-related Foods
		seasoned noodles	Environment-associated	Food	Pasta & Noodles	Pasta & Noodles
		soup	Environment-associated	Food	Dips, Spreads & Sauces	Dips, Spreads & Sauces
		soup stock	Environment-associated	Food	Dips, Spreads & Sauces	Dips, Spreads & Sauces
		spring roll	Environment-associated	Food	Snacks	Snacks
		spring salad mixture	Environment-associated	Food	Miscellaneous	Miscellaneous
		stir fried mixture	Environment-associated	Food	Miscellaneous	Miscellaneous
		street food	Environment-associated	Food	Miscellaneous	Miscellaneous
		stuffing	Environment-associated	Food	Miscellaneous	Miscellaneous
		submarine sandwich	Environment-associated	Food	Miscellaneous	Miscellaneous
		summer squash noodles	Environment-associated	Food	Pasta & Noodles	Pasta & Noodles
		sweet kale veg salad kit	Environment-associated	Food	Ready-to-Eat / Processed Foods	Ready-to-Eat / Processed Foods
		sweet pea salad	Environment-associated	Food	Grains & Flours	Grains & Flours
		tin of milk with fishy odor	Environment-associated	Food	Dairy	Dairy
		tomato soup	Environment-associated	Food	Dips, Spreads & Sauces	Dips, Spreads & Sauces
		unpasteurized egg white	Environment-associated	Food	Egg-related Foods	Egg-related Foods
		vegetable food	Environment-associated	Food	Contaminated Vegetables	Contaminated Vegetables
		vegetable salad	Environment-associated	Food	Contaminated Vegetables	Contaminated Vegetables
		vegetable sausage	Environment-associated	Food	Imitation Meat	Imitation Meat
		vegetable soup	Environment-associated	Food	Contaminated Vegetables	Contaminated Vegetables
		vol-au-vent	Environment-associated	Food	Bakery & Bread	Bakery & Bread
		wheel of trough	Environment-associated	Unknown	Unknown	Unknown
		whole lasagna	Environment-associated	Food	Pasta & Noodles	Pasta & Noodles
		wonton	Environment-associated	Food	Snacks	Snacks
		wrap chilli paneer	Environment-associated	Food	Dairy	Dairy
missing	missing	chia powder	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
missing	missing	matar masala spice mixture snack	Environment-associated	Food	Contaminated Herbs/Spices	Contaminated Herbs/Spices
missing		almond flatbread snack badam lachha	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
missing		almond flatbread snack badam lachha	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
missing		bhel spicy snack mixture	Environment-associated	Food	Snacks	Snacks
missing		corn starch snack nadiyadi bhusa	Environment-associated	Food	Snacks	Snacks
missing		extra hot mixture crispy indian snack	Environment-associated	Food	Snacks	Snacks
missing		fried indian snack	Environment-associated	Food	Snacks	Snacks
missing		fried snack spicy chananut	Environment-associated	Food	Snacks	Snacks
missing		indian snack mixture	Environment-associated	Food	Snacks	Snacks
missing		jalapeno snack stick	Environment-associated	Food	Snacks	Snacks
missing		kemchho spicy hot mixture	Environment-associated	Food	Snacks	Snacks
missing		khichra mixture	Environment-associated	Food	Snacks	Snacks
missing		mixture crispy indian snack	Environment-associated	Food	Snacks	Snacks
missing		moong lentil spice mixture snack	Environment-associated	Food	Snacks	Snacks
missing		nut cracker	Environment-associated	Food	Snacks	Snacks
missing		peanut candy bar	Environment-associated	Food	Snacks	Snacks
missing		potato fried snack	Environment-associated	Food	Snacks	Snacks
missing		potato snack	Environment-associated	Food	Snacks	Snacks
missing		puffed rice snack indian chowpati	Environment-associated	Food	Snacks	Snacks
missing		snack mixture	Environment-associated	Food	Snacks	Snacks
missing		spicy punjabi mixture	Environment-associated	Food	Snacks	Snacks
	missing	barquiron with cashew nut	Environment-associated	Food	Snacks	Snacks
	missing	cashew almond pistachio blend	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
	missing	chia powder	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
	missing	chia seed	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
	missing	ground pumpkin seed	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
	missing	moth bean crisp disc	Environment-associated	Food	Snacks	Snacks
	missing	snack food in packet instant mixture	Environment-associated	Food	Snacks	Snacks
	missing	soy crisp	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
	missing	veggie booty	Environment-associated	Food	Snacks	Snacks
		"""crunchy spicy mix with peanuts, potato sticks, cashew, and raisins"""	Environment-associated	Food	Snacks	Snacks
		alu bhujia	Environment-associated	Food	Snacks	Snacks
		apon chips	Environment-associated	Food	Snacks	Snacks
		balti mixture savory mixture of chickpeas noodles, peanuts, garden peas and lentils	Environment-associated	Food	Pasta & Noodles	Pasta & Noodles
		bhelpuri	Environment-associated	Food	Snacks	Snacks
		bhelpuri (puffed rice snack)	Environment-associated	Food	Snacks	Snacks
		bhelpuri puffed rice snack	Environment-associated	Food	Snacks	Snacks
		bhujia snack	Environment-associated	Food	Snacks	Snacks
		bikaneri bhujia	Environment-associated	Food	Snacks	Snacks
		bombay mixture	Environment-associated	Food	Snacks	Snacks
		bulgarian raw pumpkin seed	Environment-associated	Food	Snacks	Snacks
		candy desert snacks	Environment-associated	Food	Snacks	Snacks
		carrot chips	Environment-associated	Food	Snacks	Snacks
		cashew snack	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
		chang gu baked snack	Environment-associated	Food	Snacks	Snacks
		chatkeen hot n spicy	Environment-associated	Food	Snacks	Snacks
		chia seed powder	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
		chia seeds	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
		chili and lime flavored corn snack	Environment-associated	Food	Snacks	Snacks
		cocktail snacks chicken flavor cashew shaped biscuits	Environment-associated	Food	Snacks	Snacks
		corn flakes snack	Environment-associated	Food	Snacks	Snacks
		corn flakes snack	Environment-associated	Food	Snacks	Snacks
		corn flour snack lime flavor	Environment-associated	Food	Snacks	Snacks
		crunchy baked corn tortilla	Environment-associated	Food	Snacks	Snacks
		crunchy spicy mix with peanuts, potato sticks, cashew, and raisins	Environment-associated	Food	Snacks	Snacks
		ding dong super mixture	Environment-associated	Food	Snacks	Snacks
		dried lotus seed	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
		dry chia seeds	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
		egusi melon seed	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
		fried corn snack	Environment-associated	Food	Snacks	Snacks
		fried indian snack	Environment-associated	Food	Snacks	Snacks
		fried indian snack bhelpuri	Environment-associated	Food	Snacks	Snacks
		fried indian snack sing bhujiya	Environment-associated	Food	Snacks	Snacks
		fried snack	Environment-associated	Food	Snacks	Snacks
		fried snack indian food extruded lentil stick	Environment-associated	Food	Snacks	Snacks
		garlic snack sticks	Environment-associated	Food	Snacks	Snacks
		granola bar chocolate chip	Environment-associated	Food	Snacks	Snacks
		ground mellon seed	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
		ground melon seed	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
		ground melon seeds	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
		ground pumpkin seed	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
		grounded melon seeds	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
		gujarati chavana	Environment-associated	Food	Snacks	Snacks
		hemp seeds	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
		hot chanachur	Environment-associated	Food	Snacks	Snacks
		hot spicy fried indian snack	Environment-associated	Food	Snacks	Snacks
		indian snack	Environment-associated	Food	Snacks	Snacks
		indian snack tortilla	Environment-associated	Food	Snacks	Snacks
		kantong	Environment-associated	Food	Snacks	Snacks
		kashmiri mixture namkeen	Environment-associated	Food	Snacks	Snacks
		kashmiri mixture snack	Environment-associated	Food	Snacks	Snacks
		kerala mixture	Environment-associated	Food	Snacks	Snacks
		kerala mixture snack	Environment-associated	Food	Snacks	Snacks
		khatta meetha	Environment-associated	Food	Snacks	Snacks
		kolkata chana chur	Environment-associated	Food	Snacks	Snacks
		kolkata chanachur snack	Environment-associated	Food	Snacks	Snacks
		lentil fried snack agra dal	Environment-associated	Food	Snacks	Snacks
		linaza plus flax seed	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
		mellon seed egusi	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
		melon seed char magaz	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
		melon seed egusi	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
		melon seed eugusi	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
		mild spicy blend of cruncy chickpeas nuts puffed rice	Environment-associated	Food	Snacks	Snacks
		mirch masala pepper spice mixture bikaneri fried snack	Environment-associated	Food	Snacks	Snacks
		mixture pastry	Environment-associated	Food	Bakery & Bread	Bakery & Bread
		nacho crisp lime mint	Environment-associated	Food	Snacks	Snacks
		nadiyadi mix	Environment-associated	Food	Snacks	Snacks
		navratan mixture	Environment-associated	Food	Snacks	Snacks
		nut cracker	Environment-associated	Food	Snacks	Snacks
		nutrition energy bar	Environment-associated	Food	Snacks	Snacks
		parched beans	Environment-associated	Food	Snacks	Snacks
		peanut snack	Environment-associated	Food	Snacks	Snacks
		peanuts dried potato stick snack indian savoury noodles	Environment-associated	Food	Pasta & Noodles	Pasta & Noodles
		poppy seed	Environment-associated	Food	Miscellaneous	Miscellaneous
		potato snack	Environment-associated	Food	Snacks	Snacks
		potato-based retail food product	Environment-associated	Food	Snacks	Snacks
		puffed vegetable snack	Environment-associated	Food	Snacks	Snacks
		pumpkin seed	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
		pumpkin seed kernel	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
		pumpkin seed powder	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
		pumpkin seed protein powder	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
		raw shelled pumpkin seed	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
		ready to eat snack food cornflakes and potato bits	Environment-associated	Food	Snacks	Snacks
		red lentil mixture snack	Environment-associated	Food	Snacks	Snacks
		roasted pumpkin seed	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
		salted nut cracker	Environment-associated	Food	Snacks	Snacks
		savory mixture of chickpeas noodles peanuts	Environment-associated	Food	Pasta & Noodles	Pasta & Noodles
		sing fried snack hot peanut	Environment-associated	Food	Snacks	Snacks
		snack bar	Environment-associated	Food	Snacks	Snacks
		snack bombay mixture	Environment-associated	Food	Snacks	Snacks
		snack mixture	Environment-associated	Food	Snacks	Snacks
		snack peanut fried	Environment-associated	Food	Snacks	Snacks
		snack punjabi mixture	Environment-associated	Food	Snacks	Snacks
		snack sticks	Environment-associated	Food	Snacks	Snacks
		soured potato and chickpeas flour noodles	Environment-associated	Food	Pasta & Noodles	Pasta & Noodles
		spicy potato based snack with nut farali chivda	Environment-associated	Food	Snacks	Snacks
		tapioca cracker	Environment-associated	Food	Snacks	Snacks
		trail snack mix	Environment-associated	Food	Contaminated Nuts	Contaminated Nuts
		vegetable chip	Environment-associated	Food	Snacks	Snacks
		veggie booty	Environment-associated	Food	Snacks	Snacks
		veggie snack	Environment-associated	Food	Snacks	Snacks
		wafer	Environment-associated	Food	Snacks	Snacks
environmental		soy sauce mash	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
glycine max		korean traditional food using glycine max	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
glycine max		natto (fermented product)	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
missing		chungkukjang (korean traditional fermented food)	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
missing		meju	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
missing		natto	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
missing		stinky soybean	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
not applicable		meju, a korean fermented soybean food	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
not applicable		saeng-gimol meju	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
not collected		sufu	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
not collected		tofu whey	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
soy		soya spruce	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		a brick of fermented soybean (meju)	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		aspergillus-type douchi	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		brick of fermented soybean (meju)	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		cheonggukjang	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		chungkukjang	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		doejnang (high-salt fermented soybean)	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		doejnang, high-salt fermented food	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		doenjang	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		doenjang(soybean paste)	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		doenjang, fermented soybeans	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		doenjang, high-salt fermented soybean paste	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		doenjang, korean traditional food	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		doenjang-meju	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		doubanjiang	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		fermented bean curd	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		fermented brine used for stinky tofu production	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		fermented soya beans	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		fermented soyabean from sikkim	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		fermented soybean	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		fermented soybean (cheonggukjang)	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		fermented soybean food	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		fermented soybean meal	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		fermented soybean milk	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		fermented soybean paste	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		fermented soybean paste (doenjang)	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		fermented soybean paste (foodborne botulism)	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		fermented soybeans	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		fermented tofu	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		ganjang	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		ganjang(korea soy sauce)	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		ganjang(korean soy sauce)	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		ganjang, korean traditional soy sauce	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		high-salt fermented soybean	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		homemade natto	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		indonesian tempeh	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		isolated from fermented brine used for stinky tofu production	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		kimchi (korean traditional fermented food)	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		kimchi (traditional fermented korean dish)	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		kimchi, a type of traditional korean fermented food	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		kochujang	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		korean fermented food	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		korean fermented soybean food	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		korean soybean paste	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		korean traditional fermented soybean paste, doenjang	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		korean traditional fermented-soybean food	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		meju	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		meju, fermented soybean	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		meju, fermented soybean brick	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		meju, fermented soybean paste	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		meju, soybean fermented food	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		milk tofu	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		moromi mash during soy sauce fermentation	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		natto	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		natto starter	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		natto, hinode brand, los angeles, ca	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		natually fermented tofu whey	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		naturally fermented soybean	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		naturally fermented tofu whey	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		okara meal from a processing plant in china	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		organic soy flour	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		pixian county bean paste	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		pixian douban	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		preserved beancurd	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		single cell amplified by wga; tempeh (fermented soybean food product)	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		soy glycine max	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		soy product	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		soy sauce mash	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		soy sauce residue	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		soybean fermentation	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		soybean fermented food	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		soybean paste	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		soybean paste (chonggugjang)	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		soybean paste (doenjang)	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		soybean product	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		soybean products	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		soybean tempeh	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		spoiled soymilk	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		spoiled tofu	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		stinky tofu	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		sufu sample	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		tempeh	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		tempeh culture open bag	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		tempeh culture unopen bag	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		the brine of stinky tofu	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		thick broad-bean sauce	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		traditional chinese fermented soybeans	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		traditional fermented soybean	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		traditional fermented soybean paste(doenjang)	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		traditional fermented soybean pastes	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
		traditional fermented soybean products	Environment-associated	Food	Soy-Based & Fermented Soy	Soy-Based & Fermented Soy
missing	missing	spice	Environment-associated	Food	Contaminated Herbs/Spices	Contaminated Herbs/Spices
medicago sativa		alfalfa sprouts from supermarket	Environment-associated	Food	Sprouts	Sprouts
missing	missing	alfalfa sprout	Environment-associated	Food	Sprouts	Sprouts
missing	missing	alfalfa sprout	Environment-associated	Food	Sprouts	Sprouts
missing	missing	alfalfa sprouts	Environment-associated	Food	Sprouts	Sprouts
missing	missing	beetroot sprouts (import)	Environment-associated	Food	Sprouts	Sprouts
missing	missing	beetroot sprouts (import)	Environment-associated	Food	Sprouts	Sprouts
missing	missing	broccoli sprout	Environment-associated	Food	Sprouts	Sprouts
missing	missing	broccosprout blend broccoli clover mustard sprout	Environment-associated	Food	Sprouts	Sprouts
missing	missing	celery microgreens	Environment-associated	Food	Sprouts	Sprouts
missing	missing	clover sprout	Environment-associated	Food	Sprouts	Sprouts
missing	missing	mung bean sprout	Environment-associated	Food	Sprouts	Sprouts
missing	missing	sprouts	Environment-associated	Food	Sprouts	Sprouts
missing		alfalfa sprout	Environment-associated	Food	Sprouts	Sprouts
missing		alfalfa sprout	Environment-associated	Food	Sprouts	Sprouts
missing		alfalfa sprouts	Environment-associated	Food	Sprouts	Sprouts
missing		alfalfa sprouts	Environment-associated	Food	Sprouts	Sprouts
missing		asian mixture microgreen	Environment-associated	Food	Sprouts	Sprouts
missing		bean sprout	Environment-associated	Food	Sprouts	Sprouts
missing		microgreen	Environment-associated	Food	Contaminated Vegetables	Contaminated Vegetables
missing		organic alfalfa sprout	Environment-associated	Food	Sprouts	Sprouts
missing		soybean sprout	Environment-associated	Food	Sprouts	Sprouts
missing		sprout	Environment-associated	Food	Sprouts	Sprouts
not applicable		alfalfa sprouts	Environment-associated	Food	Sprouts	Sprouts
not applicable		alfalfa sprouts	Environment-associated	Food	Sprouts	Sprouts
sprouted soy		vegetables	Environment-associated	Food	Sprouts	Sprouts
	missing	alfalfa sprout	Environment-associated	Food	Sprouts	Sprouts
	missing	bagged bean sprouts	Environment-associated	Food	Sprouts	Sprouts
	missing	broccoli sprout	Environment-associated	Food	Sprouts	Sprouts
	missing	clover sprout	Environment-associated	Food	Sprouts	Sprouts
	missing	microgreen	Environment-associated	Food	Contaminated Vegetables	Contaminated Vegetables
	missing	mung bean sprout	Environment-associated	Food	Sprouts	Sprouts
	missing	soy bean sprout	Environment-associated	Food	Sprouts	Sprouts
	not applicable	solid - food; food; fruit and vegetable-based products; raw and raw processed - bean and seed sprouts - bean; fresh	Environment-associated	Food	Sprouts	Sprouts
		alfalfa clover sprout in line	Environment-associated	Food	Sprouts	Sprouts
		alfalfa sprout	Environment-associated	Food	Sprouts	Sprouts
		alfalfa sprouts	Environment-associated	Food	Sprouts	Sprouts
		alfalfa sprouts in clear plastic container	Environment-associated	Food	Sprouts	Sprouts
		bean sprout	Environment-associated	Food	Sprouts	Sprouts
		bean sprouts	Environment-associated	Food	Sprouts	Sprouts
		beansprouts	Environment-associated	Food	Sprouts	Sprouts
		broccoli sprout	Environment-associated	Food	Sprouts	Sprouts
		broccoli sprouts	Environment-associated	Food	Sprouts	Sprouts
		broccoli sprouts sandwich blend	Environment-associated	Food	Sprouts	Sprouts
		broccosprout blend	Environment-associated	Food	Sprouts	Sprouts
		chinese radish sprout	Environment-associated	Food	Sprouts	Sprouts
		clover sprout	Environment-associated	Food	Sprouts	Sprouts
